game, score, epsilon, loss
0, -1, 1.0, 0
1, -1, 0.9865873854693582, 0.007874820174442397
2, -1, 0.9718953670578457, 0.007281408707300822
3, -1, 0.9574221385966036, 0.006444877882798513
4, -1, 0.9431644419191232, 0.004766471808155378
5, -1, 0.929119067378715, 0.00584577073653539
6, -1, 0.9152828531259647, 0.002844751253724098
7, -1, 0.9016526843969468, 0.0019483226661880812
8, -1, 0.88822549281204, 0.0008421546469132105
9, -1, 0.8749982556851831, 0.0007237672184904416
10, -1, 0.8619679953434173, 0.0006014567489425342
11, -1, 0.8491317784565623, 0.0006799250220259031
12, -1, 0.8364867153768749, 0.0005291492988665898
13, -1, 0.8240299594885403, 0.0003286627431710561
14, -1, 0.8117587065668503, 0.00017027302334705988
15, -1, 0.7996701941469275, 0.0002652715270717939
16, -1, 0.7877617009018465, 0.00020188974837462108
17, -1, 0.7760305460300172, 0.0001273859292268753
18, -1, 0.764474088651693, 0.00015655414511760076
19, -1, 0.7530897272144633, 0.00023018444577852884
20, 0, 0.7400220654204669, 0.0001098437500851495
21, 1, 0.7152781593208262, 0.0006617684848606586
22, 0, 0.7035700004133906, 0.0017470395136060138
23, -1, 0.6930926077849172, 0.001274534563223521
24, -1, 0.6827712419288002, 0.0006291522334019343
25, -1, 0.672603579332449, 0.002498673461377621
26, -1, 0.6625873310844539, 0.0012853652238845824
27, -1, 0.6527202423593162, 0.0018857209011912345
28, -1, 0.6423572525679613, 0.0013822438195347786
29, 0, 0.6271204422527937, 0.0015516896576931079
30, -1, 0.6177815177748261, 0.0014074242363373438
31, -1, 0.608581666279541, 0.0020200198516249655
32, -1, 0.5998187260890874, 0.0014564894653599837
33, -1, 0.5908863721009223, 0.0018881515289346376
34, -1, 0.5820870365469931, 0.0009537066022555033
35, -1, 0.5734187385492617, 0.0015991829335689546
36, 0, 0.5640326310273845, 0.0017105058738679597
37, -1, 0.5556331948276143, 0.001022895115117232
38, -1, 0.5473588409805185, 0.0013577579210201898
39, -1, 0.5392077067902467, 0.0021179713929692905
40, 0, 0.5264176191622251, 0.0021419603920852146
41, -1, 0.5185783365332499, 0.0017932554706931113
42, -1, 0.5108557945867671, 0.001450053850809733
43, 0, 0.5012387810468929, 0.0015737911882369143
44, 0, 0.4888600950440462, 0.0019916551932692528
45, 1, 0.475834256080675, 0.00163719878980407
46, -1, 0.4687482485418297, 0.00234913919121027
47, -1, 0.46176776409679043, 0.0012886970614393552
48, -1, 0.45489123132141407, 0.0026138174037138623
49, -1, 0.4478930436417254, 0.0013478618235357345
50, -1, 0.44078201699101033, 0.0023415585746988654
51, -1, 0.43421799883663814, 0.002505913687249025
52, -1, 0.42775173043763254, 0.0015686066821217538
53, 0, 0.4201191899886489, 0.002617499584125148
54, 0, 0.4122103202424418, 0.002916311256979641
55, -1, 0.4060717848186019, 0.0029097506155570346
56, -1, 0.400024662965212, 0.002327673944334189
57, -1, 0.39406759337370495, 0.0017452938482165337
58, 0, 0.384720250991275, 0.001894108174989621
59, -1, 0.3789910909654182, 0.0027733175083994865
60, -1, 0.3733472481915578, 0.001701903777817885
61, 0, 0.3644913955026638, 0.0029678524394209185
62, 0, 0.35584560496697226, 0.002390283353937169
63, -1, 0.35054643911827926, 0.0031599642088015875
64, 0, 0.3446360525956371, 0.003615085199913558
65, -1, 0.3395038166633917, 0.004851018326977889
66, -1, 0.3344480087353141, 0.004239683225750923
67, -1, 0.3294674906642309, 0.003066899130741755
68, -1, 0.3245611412519779, 0.003974891205628713
69, 0, 0.3192485039689313, 0.003600032435673656
70, -1, 0.31449433321098275, 0.00251019603262345
71, -1, 0.30981096040295336, 0.003966823779046535
72, 0, 0.30246219798399054, 0.00349918477392445
73, -1, 0.29795800479541346, 0.004398248468836148
74, -1, 0.293520886951839, 0.0038127352173129717
75, 1, 0.283990432458673, 0.003950161944058808
76, -1, 0.27948162491537687, 0.003137827035970986
77, -1, 0.2753196528088892, 0.0019919016708930333
78, 0, 0.2687890293760307, 0.0030398478653902807
79, -1, 0.2647862887910935, 0.002981106067697207
80, 0, 0.2585055183316048, 0.0036422976991161704
81, 0, 0.2542741243660051, 0.004063617889628265
82, 1, 0.2460179896962517, 0.0019594768175121508
83, -1, 0.24235434987334742, 0.0035407211631536483
84, 0, 0.23838732920698225, 0.005147453623287605
85, 1, 0.23215149570178067, 0.0037984007723488897
86, -1, 0.2286943523211281, 0.005651423893868923
87, -1, 0.22528869187543696, 0.0055084759990374245
88, -1, 0.2219337476934121, 0.004834405581156413
89, 0, 0.21819183482564497, 0.005404294358895105
90, -1, 0.2149425753056938, 0.0054127408812443415
91, 0, 0.21142424919037942, 0.004634850968917211
92, -1, 0.2082757709030076, 0.0060954582567016285
93, 1, 0.20252351857031958, 0.006633464080680694
94, 1, 0.19693013448599025, 0.006088332572419729
95, 1, 0.19053592620819995, 0.009627266448329796
96, 1, 0.18536630390215128, 0.006686202809214592
97, 0, 0.18087890269495976, 0.006680963104780839
98, 1, 0.17500586868770374, 0.008766803043809805
99, -1, 0.1736110596837351, 0.009239550214260817
100, 2, 0.16772217330870298, 0.00748169600315716
101, 1, 0.16227633074256287, 0.008399966003542597
102, 5, 0.1510759584556719, 0.007563073057811577
103, 1, 0.14727128605577575, 0.00664262889939196
104, 7, 0.13459279163964621, 0.008130289914293421
105, 10, 0.11960855295955289, 0.00853232744197219
106, 0, 0.1167714201549792, 0.008400406882477304
107, 17, 0.09709328424477888, 0.010173478928523334
108, 29, 0.07210315556347664, 0.010080374796100024
109, 27, 0.05457239460606148, 0.009885368855332343
110, 1, 0.05280046031962176, 0.006864038324265769
111, 10, 0.04692217597608655, 0.008579876439614316
112, 10, 0.041698322041193246, 0.008205288437084627
113, 7, 0.038127602950699974, 0.008457494140004313
114, 4, 0.03585285232301454, 0.0093791691843814
115, 6, 0.033079144056827305, 0.009470953426746108
116, 15, 0.0280324174367351, 0.00799427753781444
117, 21, 0.022450347380157578, 0.009156157484966086
118, 20, 0.018142419586185534, 0.009315882166716414
119, 4, 0.0170600153134918, 0.008819538161037414
120, 4, 0.01604218892160277, 0.008799610538332442
121, 10, 0.014356377955716522, 0.009096395652237776
122, 46, 0.009995187929535779, 0.009201082686284308
123, 22, 0.009995187929535779, 0.008844114686826091
124, 8, 0.009995187929535779, 0.007075948901474476
125, 32, 0.009995187929535779, 0.007179333728401025
126, 18, 0.009995187929535779, 0.006979857756724961
127, 15, 0.009995187929535779, 0.006307665061689576
128, 49, 0.009995187929535779, 0.0054097818805999365
129, 32, 0.009995187929535779, 0.004752915449714734
130, 6, 0.009995187929535779, 0.004472313124848449
131, 4, 0.009995187929535779, 0.006377482090175636
132, 0, 0.009995187929535779, 0.005320945483011504
133, 35, 0.009995187929535779, 0.005412941188209474
134, 2, 0.009995187929535779, 0.006586923381720467
135, 45, 0.009995187929535779, 0.004679073816922621
136, 2, 0.009995187929535779, 0.004499393847139402
137, 4, 0.009995187929535779, 0.004251061320568608
138, 34, 0.009995187929535779, 0.00448515914857041
139, 2, 0.009995187929535779, 0.004886985981258853
140, 4, 0.009995187929535779, 0.0045038900239680844
141, 1, 0.009995187929535779, 0.006325072891107111
142, 1, 0.009995187929535779, 0.0071886066121585445
143, 1, 0.009995187929535779, 0.006194874926498442
144, 45, 0.009995187929535779, 0.004538729487519179
145, 7, 0.009995187929535779, 0.004133453191314613
146, 4, 0.009995187929535779, 0.008071133912336536
147, 17, 0.009995187929535779, 0.006016477134815723
148, -1, 0.009995187929535779, 0.0072525203801118415
149, 4, 0.009995187929535779, 0.005445909739388683
150, 7, 0.009995187929535779, 0.004190100981286784
151, 12, 0.009995187929535779, 0.0036612627619918244
152, 0, 0.009995187929535779, 0.0034386824597330656
153, -1, 0.009995187929535779, 0.005251539754681289
154, 0, 0.009995187929535779, 0.0023358178299826547
155, -1, 0.009995187929535779, 0.0034449803332487743
156, 1, 0.009995187929535779, 0.004266779603702682
157, 1, 0.009995187929535779, 0.005633066074465806
158, 16, 0.009995187929535779, 0.006391670973695947
159, 1, 0.009995187929535779, 0.003514777144624127
160, -1, 0.009995187929535779, 0.0021807778626680373
161, 5, 0.009995187929535779, 0.007508434682288243
162, 2, 0.009995187929535779, 0.00514038999018998
163, -1, 0.009995187929535779, 0.005888817583521207
164, 10, 0.009995187929535779, 0.005528740071833639
165, 2, 0.009995187929535779, 0.007094135533456933
166, -1, 0.009995187929535779, 0.007644086377695203
167, 1, 0.009995187929535779, 0.006139278657874971
168, 6, 0.009995187929535779, 0.004299761367340883
169, 2, 0.009995187929535779, 0.006702061895638296
170, 7, 0.009995187929535779, 0.005294972052537529
171, 9, 0.009995187929535779, 0.005302125588059425
172, 7, 0.009995187929535779, 0.006569254300531062
173, 3, 0.009995187929535779, 0.0040810253885057235
174, 4, 0.009995187929535779, 0.004237353195989035
175, -1, 0.009995187929535779, 0.0026857143697830346
176, 0, 0.009995187929535779, 0.006187551952898503
177, 3, 0.009995187929535779, 0.004670764878392219
178, -1, 0.009995187929535779, 0.0024045291046301525
179, -1, 0.009995187929535779, 0.0028856536994377774
180, 0, 0.009995187929535779, 0.002870158007254406
181, -1, 0.009995187929535779, 0.002599160922201056
182, 8, 0.009995187929535779, 0.004241229463368654
183, 4, 0.009995187929535779, 0.00369666603904578
184, 1, 0.009995187929535779, 0.004517194927867615
185, 4, 0.009995187929535779, 0.005036982609246805
186, 1, 0.009995187929535779, 0.0053220029751008206
187, 5, 0.009995187929535779, 0.005681648941619413
188, 1, 0.009995187929535779, 0.0030724375762722707
189, 0, 0.009995187929535779, 0.003632908376554648
190, 7, 0.009995187929535779, 0.004321062854132173
191, 19, 0.009995187929535779, 0.004894799243942526
192, 2, 0.009995187929535779, 0.0063626561043919
193, 22, 0.009995187929535779, 0.005020334800600489
194, 5, 0.009995187929535779, 0.004412795590429471
195, 3, 0.009995187929535779, 0.0045276988652490436
196, 4, 0.009995187929535779, 0.004474459232931788
197, 6, 0.009995187929535779, 0.0069374345843023905
198, 12, 0.009995187929535779, 0.005462693904216091
199, 1, 0.009995187929535779, 0.00493195786007813
200, 0, 0.009995187929535779, 0.007933247910470379
201, -1, 0.009995187929535779, 0.005891260008017222
202, 4, 0.009995187929535779, 0.005202516640831784
203, 2, 0.009995187929535779, 0.003081395729691133
204, -1, 0.009995187929535779, 0.004582625441253185
205, 0, 0.009995187929535779, 0.006070136332086154
206, -1, 0.009995187929535779, 0.00453447209050258
207, 7, 0.009995187929535779, 0.004802628311032024
208, 1, 0.009995187929535779, 0.006555349594264319
209, 19, 0.009995187929535779, 0.0039172740346646
210, 1, 0.009995187929535779, 0.004101468782339778
211, 3, 0.009995187929535779, 0.006553025064723832
212, 1, 0.009995187929535779, 0.005416357656940818
213, -1, 0.009995187929535779, 0.006291263364255428
214, 3, 0.009995187929535779, 0.005684433664594378
215, 2, 0.009995187929535779, 0.006567725076757628
216, 3, 0.009995187929535779, 0.006221448602054709
217, 0, 0.009995187929535779, 0.004592777928337455
218, 4, 0.009995187929535779, 0.006052430779711018
